ID;Etat;Nature;Nature_par_regroupement;Adresse;Code Postal;Commune;Département;Ministère occupant;Description;Année de 1ère inscription;Nature juridique Acquereur;Type Procédure ayant mené à la vente;Année Cession;Latitude;Longitude
110950233;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;DE LA FISEE ET 16 RUE ST DENIS;95160;MONTMORENCY;VAL-D'OISE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Personnes physiques non commerçantes;Appel d'offres;2017;48,9892;2,321
120020004;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;DU COUPEMENT;2100;ST QUENTIN;AISNE;Ministère de l'éducation nationale;null;2012;Collectivités territoriales;Gré à gré;2017;49,8474;3,285
120040012;Cession réalisée;LOGEMENT;LOGEMENT;DES EAUX CHAUDES;4000;DIGNE LES BAINS;ALPES DE HAUTE-PROVENCE;Ministère de l'économie, de l'industrie et de l'emploi;null;2012;Entreprises société;Appel d'offres;2017;44,0923;6,235
120050006;Cession réalisée;BUREAU;BUREAU;PASTEUR  BRIANÇON AT975/434;5100;BRIANCON;HAUTES ALPES;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Etablissements publics locaux;Droit de priorité;2017;44,8954;6,634
120060016;Cession réalisée;BATIMENT SANITAIRE OU SOCIAL;BATIMENT SANITAIRE OU SOCIAL;DU PALAIS DE JUSTICE;6130;GRASSE;ALPES-MARITIMES;Ministère de la justice et des libertés;null;2012;Entreprises société;Appel d'offres;2017;43,6571;6,924
120090006;Cession réalisée;ESPACE AMENAGE;ESPACE AMENAGE;null;9200;ST GIRONS;ARIÈGE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Associations;Gré à gré;2017;42,9842;1,145
120120000;Cession réalisée;BUREAU;BUREAU;DES CONSULS;12100;MILLAU;AVEYRON;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Entreprises société;Appel d'offres;2017;44,0969;3,077
120130060;Cession réalisée;BUREAU;BUREAU;JEAN MERMOZ;13700;MARIGNANE;BOUCHES-DU-RHÔNE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Etablissements publics locaux;Droit de priorité;2017;43,4165;5,214
120130094;Cession réalisée;LOGEMENT;LOGEMENT;DU TOUR DE L'ETANG;13118;ISTRES;BOUCHES-DU-RHÔNE;Ministère de la défense;null;2012;Entreprises société;Gré à gré;2017;43,5136;4,988
120140037;Cession réalisée;BUREAU;BUREAU;TSUKUBA;14200;HEROUVILLE ST CLAIR;CALVADOS;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Collectivités territoriales;Gré à gré;2017;49,2033;-0,327
120160027;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;LIEDOT;16000;ANGOULEME;CHARENTE;Ministère de la défense;null;2012;Etablissements publics locaux;Droit de priorité;2017;45,6492;0,159
120180009;Cession réalisée;ESPACE AMENAGE;ESPACE AMENAGE;null;18000;BOURGES;CHER;Ministère de la défense;null;2009;Entreprises société;Gré à gré;2017;47,0828;2,395
120180018;Cession réalisée;BUREAU;BUREAU;GOURDON;18100;VIERZON;CHER;Ministère de l'éducation nationale;null;2012;Personnes physiques non commerçantes;Gré à gré;2017;47,2211;2,068
120250029;Cession réalisée;BUREAU;BUREAU;DE PICARDIE;25000;BESANCON;DOUBS;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Collectivités territoriales;Droit de priorité;2017;47,2422;6,02
120280048;Cession réalisée;LOGEMENT;LOGEMENT;DE BLOIS;28200;CHATEAUDUN;EURE-ET-LOIR;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Collectivités territoriales;Droit de priorité;2017;48,07;1,338
120290008;Cession réalisée;LOGEMENT;LOGEMENT;null;29200;BREST;FINISTÈRE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Etablissements publics nationaux;Droit de priorité;2017;48,3897;-4,488
120290011;Cession réalisée;BUREAU;BUREAU;LA PALESTINE;29000;QUIMPER;FINISTÈRE;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Entreprises société;Gré à gré;2017;47,9955;-4,098
null;Cession réalisée;LOGEMENT;LOGEMENT;null;20169;BONIFACIO;CORSE-DU-SUD;Ministère de la défense;null;2012;Collectivités territoriales;Droit de priorité;2017;41,3876;9,16
120300006;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;40200;ST GILLES;GARD;Ministère de la défense;null;2012;Collectivités territoriales;Appel d'offres;2017;44,2183;-1,152
120310026;Cession réalisée;BUREAU;BUREAU;GRANDE RUE SAINT-MICHEL (BRANCHE GAUCHE);31500;TOULOUSE;HAUTE-GARONNE;Ministère de l'économie, de l'industrie et de l'emploi;null;2012;Entreprises société;Appel d'offres;2017;43,6043;1,441
120310027;Cession réalisée;BUREAU;BUREAU;GRANDE RUE SAINT-MICHEL (BRANCHE DROITE);31500;TOULOUSE;HAUTE-GARONNE;Ministère de l'économie, de l'industrie et de l'emploi;null;2012;Entreprises société;Appel d'offres;2017;43,6043;1,441
120310033;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;DE COLOMIERS;31830;PLAISANCE DU TOUCH;HAUTE-GARONNE;Biens non affectés;null;2012;Personnes physiques non commerçantes;Appel d'offres;2017;43,5652;1,296
120320004;Cession réalisée;LOGEMENT;LOGEMENT;DU 8 MAI;32000;AUCH;GERS;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Collectivités territoriales;Droit de priorité;2017;43,6445;0,588
120340000;Cession réalisée;BUREAU;BUREAU;LOUIS BLANC;34070;MONTPELLIER;HÉRAULT;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Entreprises société;Appel d'offres;2017;43,611;3,876
120350030;Cession réalisée;LOGEMENT;LOGEMENT;RAPHAËL BINET;35700;RENNES;ILLE-ET-VILAINE;Biens non affectés;null;2012;Personnes physiques non commerçantes;VNI;2017;48,1138;-1,682
120370023;Cession réalisée;BUREAU;BUREAU;PLANTAGENET;37500;CHINON;INDRE-ET-LOIRE;Ministère de l'éducation nationale;null;2012;Personne physique immatriculée (métropole);Appel d'offres;2017;47,1667;0,242
120380043;Cession réalisée;LOGEMENT;LOGEMENT;GRANDE RUE;38680;PONT EN ROYANS;ISÈRE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Personnes physiques non commerçantes;Adjudication;2017;45,0626;5,342
120400004;Cession réalisée;BUREAU;BUREAU;PASTEUR;40000;MONT DE MARSAN;LANDES;Ministère de l'agriculture et de la pêche;null;2012;Etablissements publics locaux;Gré à gré;2017;43,8896;-0,502
120410001;Cession réalisée;BUREAU;BUREAU;DU FAUBOURG CHARTRAIN;41100;VENDOME;LOIR-ET-CHER;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Personnes physiques non commerçantes;Appel d'offres;2017;47,7921;1,065
120440009;Cession réalisée;LOGEMENT;LOGEMENT;HENRI GAUTIER;44550;MONTOIR DE BRETAGNE;LOIRE-ATLANTIQUE;Ministère de la défense;null;2012;Entreprises société;Droit de priorité;2017;47,3276;-2,15
120440034;Cession réalisée;BUREAU;BUREAU;DE LA JONELIERE INPECT ACADÉMIQUE CANOPE WW 24 26;44300;NANTES;LOIRE-ATLANTIQUE;Ministère de l'éducation nationale;null;2012;Entreprises société;Appel d'offres;2017;47,2164;-1,554
120440057;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;null;44130;LE GAVRE;LOIRE-ATLANTIQUE;Ministère de l'agriculture et de la pêche;null;2012;Personne physique immatriculée (métropole);Appel d'offres;2017;47,5206;-1,749
120490011;Cession réalisée;BATIMENT D'ENSEIGNEMENT OU DE SPORT;BATIMENT D'ENSEIGNEMENT OU DE SPORT;DU ROI RENÉ;49100;ANGERS;MAINE-ET-LOIRE;Ministère de l'enseignement supérieur et de la recherche;null;2012;Collectivités territoriales;Autres droits;2017;47,4721;-0,557
120500003;Cession réalisée;LOGEMENT;LOGEMENT;DE LA RÉSIDENCE DU STADE;50400;GRANVILLE;MANCHE;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Entreprises société;VNI;2017;48,8375;-1,588
120500007;Cession réalisée;ESPACE AMENAGE;ESPACE AMENAGE;null;50460;QUERQUEVILLE;MANCHE;Ministère de la défense;null;2008;Entreprises société;Appel d'offres;2017;49,6585;-1,712
120510013;Cession réalisée;BUREAU;BUREAU;DES MARTYRS DE LA RESISTANCE;51000;CHALONS EN CHAMPAGNE;MARNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Entreprises société;Droit de priorité;2017;48,9564;4,364
120530006;Cession réalisée;BUREAU;BUREAU;RIDELLERIE;53000;LAVAL;MAYENNE;Ministère de la justice et des libertés;null;2012;Entreprises société;Appel d'offres;2017;48,0727;-0,77
120570012;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;57050;LORRY LES METZ;MOSELLE;Ministère de la défense;null;2012;Etablissements publics nationaux;Droit de priorité;2017;49,1413;6,121
120570017;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;57050;PLAPPEVILLE;MOSELLE;Ministère de la défense;null;2010;Etablissements publics nationaux;Droit de priorité;2017;49,1305;6,122
120570055;Cession réalisée;BUREAU;BUREAU;1 RUE DES GLACIS;57370;PHALSBOURG;MOSELLE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Collectivités territoriales;Droit de priorité;2017;48,7678;7,258
120570089;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;null;57270;UCKANGE;MOSELLE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Personnes physiques non commerçantes;Adjudication;2017;49,3024;6,154
120570093;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;ROCHAMBEAU;57050;METZ;MOSELLE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Entreprises société;Adjudication;2017;49,1191;6,176
120590057;Cession réalisée;ESPACE AMENAGE;ESPACE AMENAGE;null;59268;HAYNECOURT;NORD;Ministère de la défense;null;2012;Collectivités territoriales;Autres droits;2017;50,2113;3,161
120590070;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;59273;FRETIN;NORD;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Entreprises société;Appel d'offres;2017;50,557;3,134
120590072;Cession réalisée;LOGEMENT;LOGEMENT;DES GLYCINES;59310;ORCHIES;NORD;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Indivision;Gré à gré;2017;50,4743;3,243
120600000;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;60390;LA NEUVILLE GARNIER;OISE;Ministère de la défense;null;2012;Collectivités territoriales;Droit de priorité;2017;49,3326;2,04
120600017;Cession réalisée;LOGEMENT;LOGEMENT;null;60510;LA NEUVILLE EN HEZ;OISE;Ministère de l'agriculture et de la pêche;null;2012;Personnes physiques non commerçantes;Adjudication;2017;49,4037;2,324
120620012;Cession réalisée;BUREAU;BUREAU;DU FAUBOURG D'ARRAS;62450;BAPAUME;PAS-DE-CALAIS;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Etablissements publics nationaux;Droit de priorité;2017;50,1018;2,845
120620030;Cession réalisée;ESPACE AMENAGE;ESPACE AMENAGE;null;62220;EPINOY;PAS-DE-CALAIS;Ministère de la défense;null;2012;Collectivités territoriales;Gré à gré;2017;50,4874;2,944
120620036;Cession réalisée;OUVRAGE D'ART DES RESEAUX ET VOIRIES;RESEAUX ET VOIRIES;null;62220;EPINOY;PAS-DE-CALAIS;Ministère de la défense;null;2012;Collectivités territoriales;Autres droits;2017;50,4874;2,944
120620050;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;62100;CALAIS;PAS-DE-CALAIS;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Collectivités territoriales;Droit de priorité;2017;50,9466;1,856
120630000;Cession réalisée;BUREAU;BUREAU;THOMAS;63000;CLERMONT FERRAND;PUY-DE-DÔME;Ministère de la santé, de la jeunesse, des sports et de la vie associative : santé;null;2012;Etablissements publics locaux;Appel d'offres;2017;45,7796;3,086
120630036;Cession réalisée;BUREAU;BUREAU;PASCAL;63000;CLERMONT FERRAND;PUY-DE-DÔME;Ministère de la culture et de la communication;null;2012;Entreprises société;Appel d'offres;2017;45,7796;3,086
120680009;Cession réalisée;BUREAU;BUREAU;SÉBASTOPOL;68140;MUNSTER;HAUT-RHIN;Ministère de la justice et des libertés;null;2012;Entreprises société;Adjudication;2017;48,0406;7,134
120690012;Cession réalisée;LOGEMENT;LOGEMENT;PAUL SANTY;69008;LYON 08;RHÔNE;Ministère du Travail, des relations sociales, de la famille et de la solidarité;null;2012;Etablissements publics locaux;Droit de priorité;2017;45,7304;4,865
120690027;Cession réalisée;LOGEMENT;LOGEMENT;DE GENAS;69500;BRON;RHÔNE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Etablissements publics locaux;Appel d'offres;2017;45,7382;4,912
120690028;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;69720;ST LAURENT DE MURE;RHÔNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Entreprises société;Gré à gré;2017;45,6854;5,044
120690036;Cession réalisée;BUREAU;BUREAU;DE LA LIBERTÉ;69007;LYON 03;RHÔNE;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Entreprises société;Appel d'offres;2017;45,754;4,843
120710023;Cession réalisée;LOGEMENT;LOGEMENT;RHIN DANUBE;71100;CHALON SUR SAONE;SAÔNE-ET-LOIRE;Ministère de la justice et des libertés;null;2012;Personnes physiques non commerçantes;Appel d'offres;2017;46,7813;4,854
120730056;Cession réalisée;ESPACE AMENAGE;ESPACE AMENAGE;null;73190;CHALLES LES EAUX;SAVOIE;Ministère de l'éducation nationale;null;2012;Etablissements publics locaux;Droit de priorité;2017;45,5473;5,983
120740026;Cession réalisée;BUREAU;BUREAU;DE GENEVE;74160;COLLONGES SOUS SALEVE;HAUTE-SAVOIE;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Collectivités territoriales ET  Entreprises société;Droit de priorité;2017;46,1404;6,145
120740033;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;DES USSES;74350;CRUSEILLES;HAUTE-SAVOIE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2011;Personnes physiques non commerçantes ET  Collectivités territoriales;Gré à gré;2017;46,0333;6,106
120750022;Cession réalisée;BUREAU;BUREAU;D'ORSAY;17340;PARIS;PARIS;Ministère de l'enseignement supérieur et de la recherche;null;2012;Associations;Gré à gré;2017;46,0694;-1,091
120760037;Cession réalisée;BUREAU;BUREAU;DES BELGES;76000;ROUEN;SEINE-MARITIME;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Entreprises société;Appel d'offres;2017;49,4428;1,102
120760082;Cession réalisée;BUREAU;BUREAU;SAINT VIVIEN;76000;ROUEN;SEINE-MARITIME;Ministère de la défense;null;2012;Entreprises société;Appel d'offres;2017;49,4428;1,102
120770000;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;ROYALE;73110;LA ROCHETTE;SEINE-ET-MARNE;Ministère de l'éducation nationale;null;2012;Collectivités territoriales;Droit de priorité;2017;45,458;6,12
120770001;Cession réalisée;BUREAU;BUREAU;GEORGES CLEMENCEAU - AR 501;77400;LAGNY SUR MARNE;SEINE-ET-MARNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Collectivités territoriales;Droit de priorité;2017;48,8775;2,705
120770006;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;ST MERRY;77300;FONTAINEBLEAU;SEINE-ET-MARNE;Ministère de la défense;null;2012;Entreprises société;Appel d'offres;2017;48,4088;2,701
120770011;Cession réalisée;BUREAU;BUREAU;RAYMOND POINCARE - AR 503;77400;LAGNY SUR MARNE;SEINE-ET-MARNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Collectivités territoriales;Droit de priorité;2017;48,8775;2,705
120770024;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;LE BOIS RIPAULT;77700;SERRIS;SEINE-ET-MARNE;Ministère de la culture et de la communication;null;2012;Etablissements publics locaux;Gré à gré;2017;48,8453;2,786
120770075;Cession réalisée;LOGEMENT;LOGEMENT;DAJOT;77000;MELUN;SEINE-ET-MARNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Entreprises société;Adjudication;2017;48,5391;2,659
120770077;Cession réalisée;BUREAU;BUREAU;VICTOR HUGO;77250;VENEUX LES SABLONS;SEINE-ET-MARNE;Ministère de la justice et des libertés;null;2012;Personne physique immatriculée (métropole);Adjudication;2017;48,3854;2,79
120780030;Cession réalisée;LOGEMENT;LOGEMENT;CAILLOU MÉRARD;78400;CHATOU;YVELINES;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Collectivités territoriales;Gré à gré;2017;48,8901;2,156
120780076;Cession réalisée;LOGEMENT;LOGEMENT;ROLAND GARROS;78140;VELIZY VILLACOUBLAY;YVELINES;Ministère de la défense;null;2012;Entreprises société;Gré à gré;2017;48,7833;2,187
120790009;Cession réalisée;LOGEMENT;LOGEMENT;LA TOUR CARRÉE;79400;ST MAIXENT L ECOLE;DEUX-SÈVRES;Biens non affectés;null;2012;Etablissements publics locaux;Droit de priorité;2017;46,4126;-0,209
120800005;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;DES AUSTRALIENS;80200;PERONNE;SOMME;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Collectivités territoriales;Gré à gré;2017;49,9321;2,936
120810006;Cession réalisée;BUREAU;BUREAU;DU SEL;81000;ALBI;TARN;Ministère de la culture et de la communication;null;2012;Entreprises société;Appel d'offres;2017;43,928;2,145
120820003;Cession réalisée;BUREAU;BUREAU;INGRES;82000;MONTAUBAN;TARN-ET-GARONNE;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Entreprises société;Autres droits;2017;44,017;1,355
120830020;Cession réalisée;BUREAU;BUREAU;DE MONTFERRAT;83300;DRAGUIGNAN;VAR;Ministère de l'éducation nationale;null;2012;Entreprises société;Droit de priorité;2017;43,5394;6,465
120830045;Cession réalisée;BUREAU;BUREAU;DE L'AGAY;83530;ST RAPHAEL;VAR;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Entreprises société;Adjudication;2017;43,424;6,767
120840004;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;FOCH;84100;ORANGE;VAUCLUSE;Ministère de la défense;null;2012;Collectivités territoriales;Droit de priorité;2017;44,1369;4,809
120850003;Cession réalisée;BATIMENT SANITAIRE OU SOCIAL;BATIMENT SANITAIRE OU SOCIAL;DE LA POINTE - CHEMIN DU FORT;85460;L AIGUILLON SUR MER;VENDÉE;Ministère de la défense;null;2012;Collectivités territoriales;Droit de priorité;2017;46,3332;-1,305
120860024;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;null;86700;COUHE;VIENNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Personnes physiques non commerçantes ET  Entreprises société;Appel d'offres;2017;46,2985;0,18
120870016;Cession réalisée;LOGEMENT;LOGEMENT;DU GÉNÉRAL MARTIAL VALIN;87100;LIMOGES;HAUTE-VIENNE;Ministère de la défense;null;2010;Entreprises société;Gré à gré;2017;45,8338;1,261
120880014;Cession réalisée;MONUMENT ET MEMORIAL;MONUMENT ET MEMORIAL;null;88200;REMIREMONT;VOSGES;Ministère de la défense;null;2009;Collectivités territoriales;Droit de priorité;2017;48,0162;6,589
120900000;Cession réalisée;BUREAU;BUREAU;DE L'ESPERANCE;90000;BELFORT;TERRITOIRE-DE-BELFORT;Ministère de la culture et de la communication;null;2010;Entreprises société;Appel d'offres;2017;47,6381;6,862
120910012;Cession réalisée;LOGEMENT;LOGEMENT;null;91460;MARCOUSSIS;ESSONNE;Ministère de la défense;null;2012;Entreprises société;Autres droits;2017;48,6415;2,229
120920004;Cession réalisée;BATIMENT D'ENSEIGNEMENT OU DE SPORT;BATIMENT D'ENSEIGNEMENT OU DE SPORT;DES VIGNES;92290;CHATENAY MALABRY;HAUTS-DE-SEINE;Ministère de l'enseignement supérieur et de la recherche;null;2012;Collectivités territoriales;Droit de priorité;2017;48,765;2,278
120920049;Cession réalisée;BATIMENT D'ENSEIGNEMENT OU DE SPORT;BATIMENT D'ENSEIGNEMENT OU DE SPORT;JEAN-BAPTISTE CLEMENT;92290;CHATENAY MALABRY;HAUTS-DE-SEINE;Ministère de l'enseignement supérieur et de la recherche;null;2012;Etablissements publics locaux;Droit de priorité;2017;48,765;2,278
120930023;Cession réalisée;LOGEMENT;LOGEMENT;DE LA COURNEUVE;97400;ST DENIS;SEINE-SAINT-DENIS;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2012;Entreprises société;Droit de priorité;2017;-20,9435;55,448
120940003;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;DE PARIS;94160;ST MANDE;VAL-DE-MARNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Collectivités territoriales;Droit de priorité;2017;48,8404;2,418
129740007;Cession réalisée;BUREAU;BUREAU;DE NICE;97400;ST DENIS;LA REUNION;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2012;Entreprises société;Adjudication;2017;-20,9435;55,448
129740025;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;97115;STE ROSE;LA REUNION;Ministère de l'écologie, du développement durable, des transports et du logement;null;2012;Collectivités territoriales;Droit de priorité;2017;16,2938;-61,711
130370010;Cession réalisée;LOGEMENT;LOGEMENT;DU MARQUIS D'EFFIAT;37130;CINQ MARS LA PILE;INDRE-ET-LOIRE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2013;Personnes physiques non commerçantes;Recours à une agence;2017;47,3474;0,46
130540021;Cession réalisée;ESPACE AMENAGE;ESPACE AMENAGE;null;54700;VILCEY SUR TREY;MEURTHE-ET-MOSELLE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2013;Entreprises société;Autres droits;2017;48,9336;5,973
130590062;Cession réalisée;BUREAU;BUREAU;DE POPERINGHE;59114;STEENVOORDE;NORD;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2013;Etablissements publics nationaux;Droit de priorité;2017;50,8085;2,582
130590064;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;59790;RONCHIN;NORD;Ministère de l'écologie, du développement durable, des transports et du logement;null;2013;Collectivités territoriales;Droit de priorité;2017;50,6037;3,087
130600011;Cession réalisée;BUREAU;BUREAU;DE LA BANQUE;60000;BEAUVAIS;OISE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2013;Etablissements publics locaux;Droit de priorité;2017;49,4336;2,086
130660010;Cession réalisée;LOGEMENT;LOGEMENT;DU VELODROME;66100;PERPIGNAN;PYRÉNÉES-ORIENTALES;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2013;Personnes physiques non commerçantes;Appel d'offres;2017;42,6971;2,894
130700012;Cession réalisée;BATIMENT SANITAIRE OU SOCIAL;BATIMENT SANITAIRE OU SOCIAL;COL DES CROIX;70440;HAUT DU THEM CHATEAU LAMBERT;HAUTE-SAÔNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2013;Personnes physiques non commerçantes;Gré à gré;2017;47,8427;6,722
130740011;Cession réalisée;ESPACE AMENAGE;ESPACE AMENAGE;DE GENEVE;74100;AMBILLY;HAUTE-SAVOIE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2013;Entreprises société;Autres droits;2017;46,195;6,223
130770040;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;DE LA REPUBLIQUE;77120;COULOMMIERS;SEINE-ET-MARNE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2013;Etablissements publics locaux;Droit de priorité;2017;48,8148;3,083
130810016;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;DE TOULOUSE;81000;ALBI;TARN;Ministère de l'écologie, du développement durable, des transports et du logement;null;2013;Entreprises société;Gré à gré;2017;43,928;2,145
130830030;Cession réalisée;LOGEMENT;LOGEMENT;DES CHARDONNERETS;83440;MONTAUROUX;VAR;Biens non affectés;null;2013;Personnes physiques non commerçantes;Adjudication;2017;43,6177;6,765
130910031;Cession réalisée;SUPPORT DE PARCELLE;SUPPORT DE PARCELLE;null;91400;ORSAY;ESSONNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2013;Collectivités territoriales;Droit de priorité;2017;48,6979;2,187
130950019;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;CESBRON;95640;MARINES;VAL-D'OISE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2013;Etablissements publics locaux;Appel d'offres;2017;49,1442;1,983
139710029;Cession réalisée;LOGEMENT;LOGEMENT;DES MOMBINS;39200;ST CLAUDE;GUADELOUPE;Ministère de l'agriculture et de la pêche;null;2013;Personnes physiques non commerçantes;Appel d'offres;2017;46,3867;5,862
139740010;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;97410;ST PIERRE;LA REUNION;Ministère de l'écologie, du développement durable, des transports et du logement;null;2013;Personnes physiques non commerçantes;Gré à gré;2017;-21,309;55,468
140080011;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;RD 8043;8140;BAZEILLES;ARDENNES;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2014;Entreprises société;Appel d'offres;2017;49,6771;4,976
140130010;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;13118;ISTRES;BOUCHES-DU-RHÔNE;Ministère de la défense;null;2014;Entreprises société;Gré à gré;2017;43,5136;4,988
140130014;Cession réalisée;BUREAU;BUREAU;MONGIN;13500;MARTIGUES;BOUCHES-DU-RHÔNE;Ministère de l'écologie, du développement durable, des transports et du logement;null;2014;Entreprises société;Droit de priorité;2017;43,4045;5,047
140140026;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;PÈRE CHARLES DE FOUCAULD ;14000;CAEN;CALVADOS;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2014;Entreprises société;Gré à gré;2017;49,1813;-0,371
140170014;Cession réalisée;BUREAU;BUREAU;DE L'ESCALE;17000;LA ROCHELLE;CHARENTE-MARITIME;Ministère du budget, des comptes publics et de la réforme de l'Etat;null;2014;Entreprises société;Appel d'offres;2017;46,1585;-1,152
140210012;Cession réalisée;BATIMENT TECHNIQUE;BATIMENT TECHNIQUE;DÉPARTEMENTALE 905;21130;TILLENAY;CÔTE-D'OR;Ministère de l'écologie, du développement durable, des transports et du logement;null;2014;Entreprises société;Appel d'offres;2017;47,1802;5,352
140290013;Cession réalisée;ESPACE NATUREL;ESPACE NATUREL;null;29700;PLUGUFFAN;FINISTÈRE;Ministère de la justice et des libertés;null;2014;Personnes physiques non commerçantes;Gré à gré;2017;47,9806;-4,179
140290014;Cession réalisée;LOGEMENT;LOGEMENT;DU BOUT DU PONT;29140;ROSPORDEN;FINISTÈRE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;null;2014;Etablissements publics locaux;Appel d'offres;2017;47,9605;-3,835
null;Cession réalisée;ESPACE AMENAGE;ESPACE AMENAGE;null;20128;GROSSETO PRUGNA;CORSE-DU-SUD;Ministère de l'écologie, du développement durable, des transports et du logement;null;2014;Personnes physiques non commerçantes;Adjudication;2017;41,8709;8,963
